,path,word1,word2,word3,word4,word5,word6,word7,attribute
0,11n24y (10).jpg,0.5925925925925926,0.6084460844608447,0.5515151515151515,0.1935483870967742,0.6559139784946237,0.7037037037037035,0.375,0
1,11n24y (15).jpg,0.4761904761904763,0.5387453874538745,0.4181818181818182,0.1566820276497696,0.6866359447004609,0.5476190476190477,0.5357142857142858,0
2,11n24y (20).jpg,0.5370370370370371,0.5510455104551045,0.6363636363636362,0.2795698924731182,0.6989247311827955,0.6388888888888888,0.4375,0
3,11n24y (22).jpg,0.4814814814814815,0.7232472324723248,0.3181818181818182,0.3225806451612903,0.7634408602150538,0.7222222222222223,0.4062499999999998,0
4,11n24y (24).jpg,0.505050505050505,0.4884267024488428,0.2429752066115702,0.3577712609970673,0.6715542521994138,0.6363636363636362,0.4431818181818181,0
5,11n24y (27).jpg,0.4242424242424242,0.5823549144582355,0.2198347107438018,0.4750733137829912,0.718475073313783,0.6666666666666665,0.340909090909091,0
6,11n24y (28).jpg,0.5333333333333334,0.6199261992619925,0.0933333333333333,0.3483870967741936,0.7763440860215054,0.7555555555555555,0.4499999999999999,0
7,11n24y (29).jpg,0.2074074074074073,0.1377613776137761,0.3648484848484847,0.2795698924731182,0.5526881720430108,0.6444444444444444,0.2749999999999999,0
8,11n24y (31).jpg,0.3492063492063493,0.6986469864698649,0.4424242424242424,0.4639016897081416,0.5944700460829493,0.4285714285714284,0.1785714285714286,0
9,11n24y (32).jpg,0.4938271604938271,0.5223452234522347,0.2686868686868687,0.1935483870967742,0.5985663082437276,0.5185185185185184,0.4999999999999998,0
10,11n24y (36).jpg,0.4888888888888889,0.5166051660516605,0.3563636363636363,0.1935483870967742,0.6129032258064515,0.5,0.5250000000000001,0
11,11n24y (40).jpg,0.4040404040404038,0.6058369674605838,0.5206611570247934,0.6392961876832848,0.5542521994134897,0.4848484848484846,0.340909090909091,0
12,11n24y (44).jpg,0.6324786324786325,0.4848140789100198,0.4797202797202797,0.5310173697270473,0.523573200992556,0.5384615384615383,0.3173076923076923,0
13,11n24y (48).jpg,0.4148148148148147,0.5166051660516605,0.4666666666666665,0.3827956989247311,0.6559139784946237,0.5333333333333332,0.5250000000000001,0
14,11n24y (49).jpg,0.3333333333333332,0.2066420664206641,0.7636363636363637,0.4086021505376345,0.1827956989247311,0.3888888888888888,0.375,0
15,11n24y (52).jpg,0.3809523809523807,0.6863468634686346,0.3272727272727272,0.2119815668202767,0.7419354838709677,0.6666666666666665,0.3214285714285714,0
16,11n24y (54).jpg,0.4444444444444444,0.6586715867158671,0.509090909090909,0.3225806451612903,0.7419354838709677,0.5833333333333333,0.28125,0
17,11n24y (55).jpg,0.6296296296296295,0.6801968019680197,0.5303030303030303,0.4516129032258065,0.6559139784946237,0.5,0.53125,0
18,11n24y (58).jpg,0.5714285714285714,0.5202952029520297,0.4909090909090909,0.2304147465437788,0.631336405529954,0.5952380952380951,0.375,0
19,11n24y (6).jpg,0.2564102564102564,0.345728072665342,0.558041958041958,0.1935483870967742,0.3449131513647643,0.4358974358974361,0.4038461538461537,0
20,11n24y (60).jpg,0.4747474747474748,0.6528010734652804,0.509090909090909,0.310850439882698,0.7419354838709677,0.6363636363636362,0.4943181818181819,0
21,11n24y (64).jpg,0.3968253968253967,0.5202952029520297,0.3999999999999999,0.4331797235023042,0.4285714285714286,0.5476190476190477,0.482142857142857,0
22,11n24y (68).jpg,0.3030303030303031,0.4179805434417979,0.4975206611570246,0.3577712609970673,0.4838709677419355,0.2424242424242422,0.4431818181818181,0
23,11n24y (69).jpg,0.2857142857142857,0.5018450184501847,0.5999999999999999,0.1935483870967742,0.5207373271889402,0.7142857142857144,0.375,0
24,11n24y (7).jpg,0.2222222222222222,0.2927429274292742,0.4383838383838383,0.2795698924731182,0.6559139784946237,0.4444444444444442,0.375,0
25,11n24y (70).jpg,0.1925925925925925,0.3099630996309963,0.5175757575757576,0.3827956989247311,0.5010752688172042,0.5777777777777777,0.5250000000000001,0
26,11n24y (71).jpg,0.6031746031746033,0.5387453874538745,0.2727272727272729,0.1566820276497696,0.7050691244239631,0.9047619047619048,0.4285714285714286,0
27,11n24y (72).jpg,0.3333333333333332,0.4649446494464945,0.6840909090909091,0.2741935483870968,0.6290322580645162,0.5208333333333333,0.4921875,0
28,11n24y (9).jpg,0.574074074074074,0.7017220172201725,0.487878787878788,0.3225806451612903,0.6344086021505375,0.6111111111111109,0.53125,0
29,aimibento (1).jpg,0.6837606837606836,0.8027249503264265,0.5384615384615383,0.4516129032258065,0.6426799007444168,0.641025641025641,0.230769230769231,0
30,aimibento (15).jpg,0.5079365079365079,0.6248462484624845,0.4181818181818182,0.5745007680491552,0.5944700460829493,0.4444444444444442,0.3214285714285714,0
